charity_number,name,activities,address,postcode,phone,email,website,income
235655,REVEREND CHARLES HAIRBY BARTON CHARITABLE TRUST,"Provides small sums for religious activities relating to elderly people in the parish of Harbledown, Kent.","48 ST. MARTINS HILL, CANTERBURY",CT1 1PP,01227 451281,,,319
236140,MUNICIPAL CHARITIES OF DOVER,"RELIEF OF THOSE IN NEED BY REASON OF YOUTH, AGE, ILL-HEALTH, DISABILITY, FINANCIAL HARDSHIP OR OTHER DISADVANTAGE;","2-3 Battle Of Britain Flats, Chapel Place, Dover, Kent",CT17 9AR,01304 204070,sharon.manning@municipalcharities.org.uk,https://www.dmc.uk.net,447187
236247,LUDWELL'S ELEEMOSYNARY AND APPRENTICING CHARITY,Gives grants of money at Christmas for older people living in Charing and Charing Heath.,"WHELER HOUSE, HIGH STREET, CHARING, ASHFORD, KENT",TN27 0LS,01233712143,,,853
236408,CHARITY OF MARY ANN LE FEAVER,Providing financial help for parish residents in distress. We are not called on very often in this day and age.,"10 Napoleon Drive, Marden, Tonbridge",TN12 9TR,01622832622,GRAHAM.CODLING@HOMECALL.CO.UK,,125
236433,THE RETREAT,The charity runs a group of seven almshouses for elderly people.,"4 Park View, Seal Hollow Road, SEVENOAKS",TN13 3BU,07983603278,michaelbrignall@icloud.com,,32345
236434,BECKENHAM THEATRE TRUST,"TO ADVANCE THE THEATRICAL ARTS, AND ADVANCE EDUCATION IN THE THEATRICAL ARTS, BY THE AWARDING OF GRANTS TO CHARITIES OR OTHER COMMUNITY GROUPS, PROJECTS AND ORGANISATIONS, WORKING TO FURTHER SUCH PURPOSES FOR THE PUBLIC BENEFIT.","Pond House, Egerton Road, Charing Heath",TN27 0AX,07747 858600,info@beckenhamtheatretrust.org.uk,https://www.beckenhamtheatretrust.org.uk,66967
236464,THE BROTHERS OF THE FIRST ORDER OF THE SOCIETY OF ST FRANCIS,An Anglican Religious Community for men under a Franciscan rule of life.,"Society of St. Francis, The Friary, Hilfield, Dorchester",DT2 7BE,01300342311,bursarssf@franciscans.org.uk,https://www.franciscans.org.uk,1289105
236499,SHOREHAM ALMHOUSES,Providing housing.,"10 High Street, Shoreham, SEVENOAKS, Kent",TN14 7TD,07879 655459,shorehamalmshouses@outlook.com,,28777
236577,RUCK CHARITY,Support for the needy within the parish,"Wytherling Court, Molash, Canterbury, Kent",CT4 8HX,01233740449,MOLASHPC@GMAIL.COM,,200
236895,ROLVENDEN NON-ECCLESIASTICAL CHARITIES,The trustees only meet once a year to consider a need by any resident in the parish,"GLEN WEIR, TENTERDEN ROAD, ROLVENDEN, CRANBROOK",TN17 4JP,01580241347,,,0
237057,CONSOLIDATED ALMSHOUSE CHARITY OF SWANSCOMBE,"An Almshouse  Charity suppling affordable housing to those in need, Accepting applications from anyone with a connection to the borough of Dartford Kent.","18 Caspian Way, SWANSCOMBE",DA10 0LE,07989 993850,swanscombealms@aol.com,https://www.swanscombealmshouse.chessck.co.uk,128214
237173,LEEDS AND BROOMFIELD WAR MEMORIAL HALL,Provision of a meeting place,"Highbourne Manor, Highbourne Park, Lenham, MAIDSTONE, Kent",ME17 2PE,01622861621,HELEN.STEVE65@GMAIL.COM,,8924
237186,OLD TONBRIDGIAN LODGE CHARITABLE AND BENEVOLENT ASSOCIATION,General Charitable PurposesEducation/TrainingMedical/Health/SicknessRelief of Poverty,"3 BEYER ROAD, AMESBURY, SALISBURY",SP4 7XG,01980626921,otl4145treasurer@gmail.com,http://www.otsociety.tonbridge-school.co.uk/affiliated-groups/other-ot-groups/masonic-lodge,464
237250,THE ELAINE AND ANGUS LLOYD CHARITABLE TRUST,"Under the aforementioned Deed of Trust and subsequent amendments, the Trustees are empowered by the Trust to make gifts or grants for any purpose coming within the legal definition of charitable purpose.","7 Barrett Road, Fetcham, LEATHERHEAD, Surrey",KT22 9HL,02079307797,ROSS@ROSSBADGERLTD.COM,,129547
237696,THE RAYSTEDE CENTRE FOR ANIMAL WELFARE LIMITED,Protection and welfare of animals and education relating to animal welfare,"RAYSTEDE, THE BROYLE, RINGMER, LEWES",BN8 5AJ,01825840252,info@raystede.org,https://www.raystede.org,4361209
237708,THE R V COLEMAN TRUST,"The main object of the charity is the relieving, in cases of need, persons resident in Dover and the immediate neighbourhood thereof, who are sick, convalescent, disabled or infirm by providing or paying for items, services or facilities which are calculated to alleviate the suffering or assist the recovery of such persons in such cases but are not readily available to them from other sources.","3 Church Farm Mews, The Street, East Langdon, DOVER",CT15 5FE,07714582130,colemantrustclerk@btinternet.com,,84996
237820,GILLINGHAM SICK POOR FUND,"The purpose of the charity is to provide assistance to the poor, sick and needy of the ancient parish of Gillingham.","MEDWAY COUNCIL, GUN WHARF, DOCK ROAD, CHATHAM",ME4 4TR,01634332319,robin.baker@medway.gov.uk,,113
237821,THE ROCHESTER VETERANS CLUB,To provide sport and recreational facilities for the elderly and old people living in and around the Medway area using facilities which are fully maintained for the stated purpose.,"29 Robin Hood Lane, CHATHAM, Kent",ME5 9NS,01634 668649,david.brake@hotmail.co.uk,,7540
238203,EDMUND GYBBONS,COLLECT 2 SMALL ANNUAL RENT & DISTRIBUTE TO LOCAL POOR & NEEDY,"Village Hall, The Street, Benenden, CRANBROOK",TN17 4DE,01580240371,clerk@benendenparishcouncil.org,,501
238336,ASH UNITED CHARITIES,General charitable purposes in the Parish of Ash,"2 Chequer Lane, Ash, Canterbury",CT3 2ET,07876597988,ashcentral1@gmail.com,,1154
238374,CHARITY OF JOSHUA COX,Provides income for the Minister at Canterbury Baptist Church,"26 Magnolia Drive, Chartham, Canterbury",CT4 7TG,07780874369,finance@canterburybaptistchurch.org.uk,https://www.canterburybaptistchurch.org.uk,192
238448,SYBELLA PETLEY TRUST,MAINTENNACE OF GRAVE,"PARISH OFFICE, CHURCH HOUSE, KENT GARDENS, BIRCHINGTON",CT7 9RS,01843840777,,,766
238476,THE STOUR FESTIVAL COMPANY LIMITED,"The objectives of the Charity are the promotion and encouragement of the Arts by the production of primarily, musical recitals, but not excluding opera, plays, drama, lectures, readings and other artistic activities of an educational nature.","Henwood House, Henwood, Ashford, Kent",TN24 8DH,01233 630000,companysecretary@stourmusic.org.uk,https://www.stourmusic.org.uk,197581
238478,CHARITY OF SIR HENRY FERMOR,This small charity is funded by a rentcharge. Trustees have agreed to merge the charity with Dorothy Bathurst's Charity 222496 in this parish. The two charities have similar aims. The landowners who fund the rentcharge have agreed.,"South Oast, Smugley Farm, Bedgebury Road, Goudhurst, Cranbrook",TN17 2QU,01580211457,anthony@thefarnfields.co.uk,,0
238480,WAR MEMORIAL,Care and maintenance of Cranbrook's War Memorial.,"THE OLD FIRE STATION, STONE STREET, CRANBROOK, KENT",TN17 3HF,01580713112,clerk@cspc.org.uk,,0
238665,WROTT AND HILL CHARITY,Providing accommodation for the poor and needy of the ancient parish of Sutton-at-Hone & Hawley,"262 Main Road, Sutton At Hone, DARTFORD",DA4 9HJ,07415412321,wrottandhillsec@gmail.com,,47991
238666,SIR THOMAS SMYTHE FOR THE POOR,Receipt of dividend and bank interest income only.,"COUNCIL OFFICES, 53 MAIN ROAD, SUTTON-AT-HONE, DARTFORD, KENT",DA4 9HQ,01322862291,wandh@dsl.pipex.com,,144
238766,JOSEPH SLADEN,Relief of poverty.,"201 Canterbury Road, FOLKESTONE",CT19 5PD,07860175123,sainteanswythe@yahoo.co.uk,http://stmaryandsteanswythe.org,215
238767,JOSEPH SLADEN (INCLUDING THOMAS HILL'S CHARITY) FOR POOR MEN,Relief of poverty for poor men.,"201 Canterbury Road, FOLKESTONE",CT19 5PD,07860175123,sainteanswythe@yahoo.co.uk,http://stmaryandsteanswythe.org,128
238768,JOHN BAKER SLADEN,Relief of poverty,"201 Canterbury Road, FOLKESTONE",CT19 5PD,07860175123,,http://stmaryandsteanswythe.org,97
238769,CHARITY OF MARY PHILLIPS,Relief of poverty for poor women.,"201 Canterbury Road, FOLKESTONE",CT19 5PD,07860175123,sainteanswythe@yahoo.co.uk,http://stmaryandsteanswythe.org,172
238770,CHARITY OF JAMES KELCEY,Relief of poverty.,"201 Canterbury Road, FOLKESTONE",CT19 5PD,07860175123,sainteanswythe@yahoo.co.uk,http://stmaryandsteanswythe.org,163
238771,CHARITY OF SUSANNAH TOES,Distribution of monies.,"201 Canterbury Road, FOLKESTONE",CT19 5PD,07860175123,sainteanswythe@yahoo.co.uk,http://stmaryandsteanswythe.org,43
238772,EAST LANGDON PARISH HALL,"The hall provides facilities for social, recreational and educational events.  The community regularly meets for Dog Training, Weekly Coffee Mornings, the occasional Dances, Quiz Evenings and Keep-Fit sessions.  A sub-post Office opens every Tuesday and Thursday mornings 9 - 12noon.  Langdon Parish Council meets every 3rd Monday each month at 7.30pm. The local school and families also use the hall","1 GUILFORD COTTAGES, EAST LANGDON, DOVER",CT15 5JD,01304852097,eastlangdonparishhall@gmail.com,,4501
238848,KESTON VILLAGE HALL,"The provision and maintenance of the village hall for the use of residents of Keston and its neighbourhood including use for meetings, lectures and classes and forms of recreation and leisure/social time occupation.","41 Hollingworth Road, Petts Wood, Orpington",BR5 1AQ,07421728377,ravi.ravindran@hotmail.com,https://kestonvillagehall.org.uk,40923
238876,CHARITY OF LAZARUS HART FOR HAVENS OF REST,almshouse,"125 LONDON ROAD, RAMSGATE",CT11 0DR,07990552464,pod.odwyer@virgin.net,,22881
239001,HENRY ROBINSON,Interest is accrued on investments and used for community events,"2 MILLERS LANE, MONKTON, RAMSGATE",CT12 4JW,01843822763,,,2361
239003,COTTAGER'S ALLOTMENTS,"The funds are to be used at the discretion of the trustees for relieving persons resident in River Parish who are in conditions of need, hardship or distress. Exceptionally, they maybe made to residents outside but immediately adjacent to River Parish if the Trustees feel they should be treated as residents.","17 MEADWAY, DOVER",CT17 0PS,01304825554,,,1470
239044,HOWARD DE WALDEN HOSTEL CHARITY,"The Charity maintains a hostel for the residential accommodation, recreation and instruction of young people of the town of Maidstone employed within the said town or the neighbourhood thereof, and those attending a course of instruction at a recognised place of education in Maidstone.","176 TONBRIDGE ROAD, MAIDSTONE, KENT",ME16 8ST,01622728233,admin@westboroughhouse.co.uk,https://www.westboroughhouse.co.uk,80114
239106,CHARITY OF THE REVEREND MICHAEL SEYMOUR EDGELL,Rents allotments and cares for the area,"ST. PETERS CHURCH, COLLEGE ROAD, SWANLEY",BR8 7RH,01322662320,,,300
239221,TATSFIELD VILLAGE HALL,Arts/Culture/Sport/Recreation for Tatsfield Villagers. Provides building and facilities,"Roland Cottage, Borough Road, Tatsfield, WESTERHAM, Kent",TN16 2LA,01959540775,tatsfieldvillagehall@live.co.uk,https://www.tatsfieldvillagehall.org.uk,25552
239308,GRAVESEND AND ROCHESTER AGRICULTURAL ASSOCIATION,Ploughing Match and Gymkhana held annually,"GRAVESEND & ROCHESTER, AGRICULTURAL ASSOCIATION, CLOCKHOUSE BARN, CANTERBURY ROAD, CHALLOCK",ASHFORD,01233740077,tom.french@btfpartnership.co.uk,https://www.graa.org.uk,16048
239414,HAYNES BEQUEST,Disposal of funds for charitable purposes,"ARCHDIOCESE OF SOUTHWARK, FINANCE OFFICE, 59 WESTMINSTER BRIDF#GE ROAD, LONDON",SE1 7JE,02079602521,adrianradford@rcaos.org.uk,,81
239417,WOODROFFE BEQUEST ADMINISTERED BY (THE ROMAN CATHOLIC DIOCESE OF SOUTHWARK),Supporting the Southwark Catholic Children's Society,"ARCHDIOCESE OF SOUTHWARK, FINANCE OFFICE, 59 WESTMINSTER BRIDGE ROAD, LONDON",SE1 7JE,02079602521,adrianradford@rcaos.org.uk,,76
239419,WHITTINGHAM BEQUEST,Dividing income from the bequest for the education of ecclesiastical students and the maintenance of destitute children,"ARCHDIOCESE OF SOUTHWARK, FINANCE OFFICE, WESTMINSTER BRIDGE RAOD, LONDON",SE1 7JE,02079602521,adrianradford@rcaos.org.uk,,403
239471,CHARITY OF EDWARD DODGE,The charity was set up in the 16th century to help the poor. It is now inactive and so all monetary dues to it are paid over to the Betenson Trust which is another charity whose purpose is the upkeep of local almshouses.,"Rookery Dene, Long Mill Lane, Platt, SEVENOAKS",TN15 8NA,01732885612,,,40
239570,CHARITY OF JAMES WATSON RANDALL,"Charitable donations to needy individuals, good causes, and charity supported organisations","Emmaus Christian Centre, Clover Street, Chatham, Kent",ME4 4DT,01634811632,admin@emmauschatham.co.uk,https://www.emmauschatham.co.uk,218
239586,AUGUSTA ANNE DAWKINS AND JULIANA HARRIOT DAWKINS,Providing relief for the poor in the parish of St. Martin's Cheriton,"All Souls Church Hall, Somerset Road, FOLKESTONE",CT19 4NW,01303 270604,cheritonbenefice@outlook.com,https://www.cheritonchurches.org,223
239866,CHARITY OF FRIEND WILLIAMSON,ISSUE GRANTS TO INDIVIDUALS IN THE ANCIENT PARISH OF WESTBERE FOR THE RELIEF OF POVERTY AND FOR EDUCATION.,"6a Westbere Lane, Westbere, CANTERBURY",CT2 0HH,07936904649,,,5155
239992,KENT WILDLIFE TRUST,"Environmental, Conservation and Education","KENT WILDLIFE TRUST, TYLAND BARN, CHATHAM ROAD, SANDLING, MAIDSTONE",ME14 3BD,01622662012,info@kentwildlife.org.uk,https://www.kentwildlifetrust.org.uk,8357000
240032,SIR JOHN FOWLE,Relief of poverty. Local woman individual grants.,"Poplar Cottage, Queen Street, Sandhurst, CRANBROOK, Kent",TN18 5HS,01580 850656,,,88
240185,CHARITY OF GABRIEL RICHARDS (OTHERWISE KNOWN AS GOODNESTONE HOSPITAL,"For the provision of affordable housing for persons over the age of 55 years of age in Goodnestone, Nr Canterbury, Kent","Weavers Cottage, The Street, Goodnestone, CANTERBURY, Kent",CT3 1PQ,07749386132,jadew94@hotmail.co.uk,,11572
240187,PARISH HALL,Our charity maintains Holy Trinity Parish Hall and hires it to those who need a place to meet.,"103A London Road, SITTINGBOURNE, Kent",ME10 1NR,07702 021193,holytrinityhallhire@gmail.com,https://holytrinityhall.co.uk,10673
240563,DUNK'S ALMSHOUSE CHARITY,The objectives of the Charity are to provide accommodation for poor persons of good character who (except in special cases to be approved by the charity commission) have resided in the area of the parish of Hawkhurst  for not less than two years.,"5 Dunks Flats, Rye Road, Hawkhurst, CRANBROOK",TN18 4HF,01580388973,dunksclerk@outlook.com,https://www.dunksclerk.simplesite.com,0
240815,CHARITY OF LEONARD APSLEY,"gives small grants for the 'relief of the poor, bereaved and destitute'","Red Lion, London Road, Dunkirk, FAVERSHAM, Kent",ME13 9LL,07721579718,KEVIN_KEMP@SEPTEM7788.CO.UK,,210
240915,THE JEPHCOTT CHARITABLE TRUST,"JCT makes grants for charitable purposes in four main areas of funding: population control, the natural environment, education and health.","THE THRESHING BARN, FORD, KINGSBRIDGE",TQ7 2LN,07941102509,,https://www.jephcottcharitabletrust.org.uk,2669750
241427,UNKNOWN DONOR'S CHARITY,"AIDING, FINANCIALLY, CHILDREN IN THE PARISH WITH THEIR EDUCATION THROUGH GRANTS AND ASSISTING STRUGGLING PENSIONERS WITH LIVING COSTS.ANY ASSISTANCE REQUIRED EDUCATIONALLY OR SOCIALLY IN THE PARISH.","3 HARDENS VIEW, WAREHORNE, ASHFORD",TN26 2LG,01233733877,pamandel3@aol.com,,6246
241511,PROVIDENCE CRANBROOK CHARITY,The object of the charity is to make grants for the benefit of protestant dissenters in the parish of Cranbrook and elsewhere in the County of Kent.,"66 IDEN CRESCENT, STAPLEHURST, TONBRIDGE",TN12 0NU,01580892174,,,13025
241782,PARISH ROOM - (KNOWN AS CHURCH HALL),"Church Hall. The hall is used for some church activities and is let to various local clubs and organisations for educational and recreational activities, in line with the Trust Deed requirements.","St. Bartholomew's Church, The Green, Otford, Sevenoaks, Kent",TN14 5PD,01959523185,office@stbartholomews.co.uk,https://www.stbartholomews.co.uk,22092
241823,EDMETT AND FISHER CHARITY,Providing financial assistance to the elderly in the Maidstone area.,"Whitehead Monckton, Eclipse Park, Sittingbourne Road, MAIDSTONE, Kent",ME14 3EN,01622698000,MARIEHOLLAND@WMLAW.UK,,11673
241964,MARGARET LOWES,General Charitable Purposes,"THE HOMESTEAD, APPLEDORE, ASHFORD",TN26 2AJ,01233758298,MARY47SHAW@GMAIL.COM,,256
242004,CHARITY OF MISS MARY GOORD,to help elderly    people in need in the parish,"HAVERSHAM HOUSE, DICKENSIAN CLOSE, UPPER STOKE, ROCHESTER, KENT",ME3 9TB,01634270026,bett9jg@btinternet.com,https://stpeterstpaulupperstoke.uk,126
242034,THE CHARITY OF THOMAS IDDENDEN,"The aims of the Trust are to provide out of its income, relief for persons within the parish of Hawkhurst who are in need,hardship or distress and, if and so far as the income cannot be so applied, to apply the income for the general benefit of the inhabitants of the parish of  Hawkhurst in such charitable ways as the Trustees think fit.","Springetts Almshouses, Horns Road, Hawkhurst, Cranbrook",TN18 4QZ,07914698645,Springettsclerk@gmail.com,,3160
242109,CANTERBURY RELIEF IN NEED CHARITY,Relief to those in Need in the City of Canterbury,"Furley Page, 39-40 St. Margarets Street, Canterbury",CT1 2TX,01227863140,aas@furleypage.co.uk,,9803
242627,MRS MARGARET ADAMS' LADIES CHARITY,Disbursements to give a little help to gentlewomen in the area.,"CONGHURST FARM, CONGHURST LANE, HAWKHURST, CRANBROOK",TN18 4RW,07714696263,richard@conghurst.co.uk,,5797
242728,THE BERRY HOUSING TRUST,Provides housing for elderly-old people in the village.,"Staples Cottage, Vigo Road, Fairseat, SEVENOAKS, Kent",TN15 7LU,01732 823356,johnmattick@yahoo.co.uk,,23866
242942,CT 10 PAROCHIAL CHARITIES,"The charity distributes grants to the poor and needy within the area postcode CT10. The grants are made where there is no other source of money available, i.e. grants are not made in place of benefits, etc. Income is from the letting of land and the receipt of dividends from our investments.","9, Northcliffe Gardens, Broadstairs, Broadstairs, Kent",CT10 3AL,07594991646,ct10charities@mail.com,https://ct10charities.co.uk,44913
243036,CHARITY OF SIR HENRY FERMOR,Distribution of grants to 40 industrious poor people in the Parish of Sevenoaks annually,"NOBLE TREE HOUSE, NOBLE TREE ROAD, HILDENBOROUGH, TONBRIDGE",TN11 8NB,07710 385544,s-m-moore@outlook.com,,547
243039,THE LEAGUE OF FRIENDS OF SEVENOAKS HOSPITAL,Provision of equipment and amenities for the benefit of patients at Sevenoaks Hospital and promotion of local awareness of facilities available at the hospital for the benefit of the local community.,"15 Shoreham Place, Shoreham, Sevenoaks",TN14 7RX,01959524712,ian.philip@icloud.com,https://www.lofosh.org.uk,38567
243074,THE CURFEW LAND (OTHERWISE THE PARISH CLERK'S LAND),Grant making relative to the St. Margaret's at Cliffe curfew bell and the bell tower.,"52 The Droveway, St. Margarets Bay, DOVER, Kent",CT15 6BZ,01304853325,,,570
243437,THE DAVID PICKFORD CHARITABLE FOUNDATION,"The objectives of the foundation are set out in Clause 2 of the Deed which states that the trustees shall hold the trust fund and the income thereof to pay or apply the annual income of any part of the capital of the trust fund to, or for, such charitable institution, or institutions, or other charitable objects, or objects as the trustees shall from time to time at their discretion select","Benover House, Rectory Lane, Saltwood, Hythe",CT21 4QA,---,,,28128
243630,BOORMAN'S ALMSHOUSES,An almshouse with 2 units to provide accommodation for the elderly in need in the village of East Peckham,"44 Church Lane, East Peckham, TONBRIDGE, Kent",TN12 5JH,01622 872053,boormans.almhouses@gmail.com,,8980
243631,MR AND MRS GROVES DAMES' HOMES,"The charity provides housing and facilities for up to 12 elderly ladies in 12 flats at 58-80 Mill Road, Deal. They pay the Trust towards the costs of repairs and maintenance and towards the heating costs. The charity's outgoings include heating (gas), repairs and maintenance, insurance, water rate and any necessary refurbishment costs when a flat is vacated.","Flat 1, Mountbatten House, 13 Halliday Drive, Deal",CT14 7QN,01304268921,haywardchristopher65@gmail.com,,25134
243633,CHARITIES OF LADY ABERGAVENNY AND WILLIAM WYKES,Quarterly payments with additional payments at Christmas.Ad hoc gifts as approved by the Trustees.,"Evergood Farm House, Brick Kiln Lane, Horsmonden, TONBRIDGE, Kent",TN12 8ES,01892 725581,,,2870
244097,SELLING VILLAGE HALL,Village Hall Use,"5 STATION COTTAGES, SELLING, FAVERSHAM",ME13 9PW,07771993774,sellingvillagehall@gmail.com,https://.P,7204
244792,CHARITY OF WILLIAM OURE,To support elderly villagers who are in need. To support villagers or their families who have suffered a tragic accident or bereavement. General charitable purposes.,"PARISH CLERK, c/o 14 Chapmans Close, Blind Lane, CHALLOCK, ASHFORD",TN25 4AX,07895494851,parishclerkchallockpc@gmail.com,,500
244869,THE CHALMERS ROGERS MEMORIAL FUND,The provision of financial assistance towards the education of young men and women who wish to train for the URC ministry or as missionaries or courses of instruction for work in Christian missions or sunday schools.,"U R C Southern Synod Trust Ltd, East Croydon United Reform Church, Addiscombe Grove, CROYDON",CR0 5LP,02086883730,,,541
245190,"GREEK ORTHODOX CHURCH, MARGATE","Religious , Educational, Cultural, Charity and Philanthropic activities","8, Westbrook Cottages, Margate, Kent",CT9 5BE,01843294477,chairman@gocmargate.org,https://www.gocmargate.org,98017
245315,WOODCHURCH WINDMILL TRUST,We use the income generated by the Trust to give donations to other groups within Woodchurch when requested.,"C/o. Woodchurch HUB, Front Road, Woodchurch, Kent",TN26 3PA,01233861381,ENQUIRIES@WOODCHURCHWINDMILLTRUST.UK,https://www.woodchurchhub.uk/woodchurch-charities/,765
245480,MEDWAY SOCIETY OF CLUBS FOR THE PHYSICALLY HANDICAPPED,Provide sports and social facilities for disabled members of the Medway Towns and surrounding areas.,"MSCH Hall, The Strand, GILLINGHAM, Kent",ME7 1TT,07842088646,MSCHCHARITY@gmail.com,,8625
245669,CHARITIES ADMINISTERED IN CONNECTION WITH FORMER 3RD (MILITIA) BATTALION THE BUFFS (ROYAL EAST KENT REGIMENT),We provide a safety net for former members referred to us for benevolence and support the activities of successor unit 3PWRR,"THE REGIMENTAL ADMINISTRATION, OFFICER 3 PWRR, LEROS TA CENTRE, STURRY ROAD, CANTERBURY KENT",CT1 1HR,01227817957,Linda.Morgan-Monk570@mod.gov.uk,,0
245750,DOVER PATROL MEMORIAL FUND,"The upkeep of the memorial at Leathercote Point, St Margaret's Bay, Dover, Kent, and the chained-off area of land surrounding it.","12 HARNET STREET, SANDWICH",CT13 9ES,01304612014,NTWILLCOX@GOOGLEMAIL.COM,,2601
245824,THE COOPER AND ADKINSON ALMSHOUSE CHARITY,"Providing, maintaining and managing six Almshouses for persons of good character who are in need and are inhabitants of Canterbury","The Parish Office, 15 Church Street, St. Pauls, CANTERBURY, Kent",CT1 1NH,01227768072,adkinsoncharities@gmail.com,,26201
246088,CHARITIES OF REVEREND HARRY SMITH AND OTHERS,"Help to old people in the village of Crundale, Kent","VYAUNDS COTTAGE, CRUNDALE, CANTERBURY",CT4 7EE,01227730604,davidrigley@icloud.com,,43
246726,T MUSGRAVE BURTON CHARITY,Eastling PC,"Tong House, Tong Lane, Eastling, Faversham",ME13 0BH,01795 890598,,,27
246728,THOMAS READ MEMORIAL,Eastling PCC,"THE RECTORY, NEWNHAM LANE, EASTLING, FAVERSHAM",ME13 0AS,01795890432,eastlingchurch@gmail.com,,0
246730,EDWARD GRESWOLD'S CHARITY,Eastling PCC,"Tong House, Tong Lane, Eastling, Faversham",ME13 0BH,01795 890598,,,0
246731,MRS HESTER PETTMAN CHARITY,Eastling PCC,"THE RECTORY, NEWNHAM LANE, EASTLING, FAVERSHAM",ME13 0AS,01795 890598,,,12
246830,KATE DRUMMOND TRUST,The trust owns and operates a residential house. Tenants are provided with accommodation either on a rent free or subsidised basis some of the running costs are recovered. The remainder are bourne by the trust. Any surplus arising is available to make awards.,"St. Nicholas Church, Rectory Lane, SEVENOAKS, Kent",TN13 1JA,01732 740340,KDTRUSTEES@GMAIL.COM,,11342
246906,CHARITY OF THOMAS STEVENS,"Thomas Stevens, a gentleman farmer, owner of Parsonage Farm, Cobham died 1893 and the charity was founded under the provision of his will. A charitable trust bequeathed to the parish of Cuxton, Kent, for those who deserve benefit. Originally set up to provide bread or coals for the poor; now interpreted as food or fuel. Beneficiaries must live within Cuxton civil parish for the minimum of 2 years.","196-198 Bush Road, Cuxton, ROCHESTER, Kent",ME2 1HE,01634716334,iangray@live.co.uk,,757
247326,THE RAMSGATE SAILORS HOME AND HARBOUR MISSION,Religious activities.,"Sweetbriar, Rusham Road, Shatterling, CANTERBURY, Kent",CT3 1JL,01227 728436,sarah@neden.org.uk,,2719
247379,GERMAN SOCIETY OF BENEVOLENCE,Income support,"TC Group, 6th Floor Kings House, 9-10 Haymarket, LONDON",SW1Y 4BP,020 7486 5553,,,14657
247404,STOCKBURY POOR'S LAND CHARITY,Small money gifts at Christmas for some needy members of the village.,"8 ALLSWORTH CLOSE, NEWINGTON, SITTINGBOURNE",ME9 7NW,01795843507,maviscolin.prior@btinternet.com,,900
247512,THE LILLEY MEMORIAL TRUST,Provide housing for local low income working person,"TOWN HALL BUILDINGS, 31 ST. MILDREDS ROAD, WESTGATE-ON-SEA, KENT",CT8 8RE,01843831027,contact@westgateinvestment.co.uk,,15703
247707,THE FRIENDS FOR MENTAL HEALTH (EAST KENT),We support the needs of people suffering from mental health problems,"Friends For Mental Health (E. Kent), C/O Voluntary Services, KMPT, Eastern & Coastal Area Office, Littlebourne Road, Canterbury",CT1 1AZ,01227 812137,THEFRIENDSFORMENTALHEALTH.EK@GMAIL.COM,,3182
247709,CITY PRAISE CENTRE,- Christian based teaching - Children's and youth clubs- Worship services- Support for the elderly- Support for the homeless- Other members of the society in need of support,"City Praise Centre, 9-11 Lower Higham Road, GRAVESEND",DA12 2LY,01474356773,office@citypraisecentre.com,https://www.citypraisecentre.com,0
247956,THE COLEMAN CHARITY,"The relief of farmers or agriculturists resident in the county of Kent who are in need, hardship or distress.","92, Marlborough Crescent, Sevenoaks, Sevenoaks, Kent",TN13 2HR,07957614162,emma.baker2008@gmail.com,,5046
247988,OTTERDEN CHURCH REPAIR CHARITY OF JAMES BUNCE,Religious activities,"CARTER JONAS, REGENT HOUSE, 13-15 ALBERT STREET, HARROGATE",HG1 1JX,01423707824,hannah.burton@carterjonas.co.uk,,4803
248134,WHITSTABLE NON-ECCLESIASTICAL CHARITIES,The Charity is financed from rents collected from properties owned in Whitstable and the surrounding area and from interest on invested funds.  This income is then applied for the relief from hardship or distress of persons living in Whitstable.,"PO Box 1247, WHITSTABLE, Kent",CT1 9UT,07783936927,woottonchar63@gmail.com,,191018
248359,CHARITY OF HARRY JOYNOUR,rental of land,"The Old Rectory, Stowting Hill, Stowting, ASHFORD, Kent",TN25 6BE,01303862474,,,424
248440,B'NAI B'RITH KENT GATE CHARITABLE TRUST FUND,"Grants to young Jewish people in the South London area, to encourage their religious, academic, sporting and social activities. Also grants to local charitable organisations for the same purpose","34 BROMLEY AVENUE, BROMLEY",BR1 4BQ,02084020752,wolfson100@hotmail.co.uk,,0
248680,THE HAVERING THEATRE TRUST LIMITED,"The Trust produces and presents theatre, music and dance to entertain and educate the people of outer East London and Essex, and complements this with an extensive programme of educational and outreach activities, and a guest programme of professional and community events.","Queens Theatre, Theatre House, Billet Lane, Hornchurch",RM11 1QT,01708462362,info@queens-theatre.co.uk,https://www.queens-theatre.co.uk,4671844
249339,THE ROCHESTER DIOCESAN SOCIETY AND BOARD OF FINANCE,"ADMINISTRATIVE SUPPORT FOR THE CHURCH OF ENGLAND IN THE AREAS OF WEST KENT AND SOUTH EAST LONDON, WITH SUPPORT BEING GIVEN TO PARISHES, PEOPLE AND ORGANISATIONS IN THOSE AREAS","ROCHESTER DIOCESAN SOCIETY &amp; BOARD, OF FINANCE, ST. NICHOLAS CHURCH, BOLEY HILL, ROCHESTER",ME1 1SL,01634560000,enquiries@rochester.anglican.org,https://www.rochester.anglican.org,12655460
