id,title,slug,url,organisation,organisation_url,email,phone,website,address,postcode,price,categories,description,excerpt,date,modified
,Knit and Natter at Ashen Drive Library,knit-and-natter-at-ashen-drive-library,https://involvekent.org.uk/directory/knit-and-natter-at-ashen-drive-library/,Ashen Drive Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/ashen-drive-library/,ashendrivelibrary@kent.gov.uk,03000 41 31 31,,"Ashen Drive Library, Ashen Drive, Dartford, Kent, DA1 3LY What we do Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Tuesday from 10.30am – 12.45pm Where : Ashen Drive Library",DA1 3LY,Free Organisation Ashen Drive Library (Kent Libraries) Telephone 03000 41 31 31 Email ashendrivelibrary@kent.gov.uk Organisation Ashen Drive Library (Kent Libraries),Groups and Community Activities; Hobbies and interests,"Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Tuesday from 10.30am – 12.45pm Where : Ashen Drive Library Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Tuesday from 10.30am – 12.45pm Where : Ashen Drive Library Price Free",,,
,Knit and Natter at Fleetdown Library,knit-and-natter-at-fleetdown-library,https://involvekent.org.uk/directory/knit-and-natter-at-fleetdown-library/,Fleetdown Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/fleetdown-library/,fleetdownlibrary@kent.gov.uk,03000 41 31 31,,"Fleetdown Library, Swaledale Road, Dartford, Kent, DA2 6JZ What we do Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Friday from 10am – 12pm Where : Fleetdown Library",DA2 6JZ,Free Organisation Fleetdown Library (Kent Libraries) Telephone 03000 41 31 31 Email fleetdownlibrary@kent.gov.uk Organisation Fleetdown Library (Kent Libraries),Groups and Community Activities; Hobbies and interests,"Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Friday from 10am – 12pm Where : Fleetdown Library Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Friday from 10am – 12pm Where : Fleetdown Library Price Free",,,
,Knit and Natter at King’s Farm Library,knit-and-natter-at-kings-farm-library,https://involvekent.org.uk/directory/knit-and-natter-at-kings-farm-library/,King's Farm Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/kings-farm-library/,kingsfarmlibrary@kent.gov.uk,03000 41 31 31,,"Kings Farm Library, Sun Lane, Gravesend, Kent, DA12 5HR What we do Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Wednesdays from 11am – 12:30pm Where : King’s Farm Library",DA12 5HR,Free Organisation King's Farm Library (Kent Libraries) Telephone 03000 41 31 31 Email kingsfarmlibrary@kent.gov.uk Organisation King's Farm Library (Kent Libraries),Arts and crafts; Groups and Community Activities; Social groups and coffee mornings,"Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Wednesdays from 11am – 12:30pm Where : King’s Farm Library Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Wednesdays from 11am – 12:30pm Where : King’s Farm Library Price Free",,,
,Knit and Natter at Longfield Library,knit-and-natter-at-longfield-library,https://involvekent.org.uk/directory/knit-and-natter-at-longfield-library/,Longfield Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/longfield-library/,longfieldlibrary@kent.gov.uk,03000 41 31 31,,"Longfield Library, 49 Main Road, Longfield, Kent, DA3 7QT What we do Enjoy knitting and crafts? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to experts. When : Fortnightly on a Thursday from 11.15am – 12.30pm Where : Longfield Library",DA3 7QT,Free Organisation Longfield Library (Kent Libraries) Telephone 03000 41 31 31 Email longfieldlibrary@kent.gov.uk Organisation Longfield Library (Kent Libraries),Arts and crafts; Groups and Community Activities; Social groups and coffee mornings,"Enjoy knitting and crafts? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to experts. When : Fortnightly on a Thursday from 11.15am – 12.30pm Where : Longfield Library Enjoy knitting and crafts? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to experts. When : Fortnightly on a Thursday from 11.15am – 12.30pm Where : Longfield Library Price Free",,,
,Knit and Natter at Marling Cross Library,knit-and-natter-at-marling-cross-library,https://involvekent.org.uk/directory/knit-and-natter-at-marling-cross-library/,Marling Cross Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/marling-cross-library/,marlingcrosslibrary@kent.gov.uk,03000 41 31 31,,"Marling Cross Library, 266 Mackenzie Way, Gravesend, Kent, DA12 5TY What we do Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Tuesday from 2pm – 4pm Where : Marling Cross Library",DA12 5TY,Free Organisation Marling Cross Library (Kent Libraries) Telephone 03000 41 31 31 Email marlingcrosslibrary@kent.gov.uk Organisation Marling Cross Library (Kent Libraries),Arts and crafts; Groups and Community Activities; Hobbies and interests; Social groups and coffee mornings,"Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Tuesday from 2pm – 4pm Where : Marling Cross Library Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. When : Tuesday from 2pm – 4pm Where : Marling Cross Library Price Free",,,
,Knit and Natter at Swanley Library,knit-and-natter-at-swanley-library,https://involvekent.org.uk/directory/knit-and-natter-at-swanley-library/,Swanley Library (Kent Libraries) Telephone 0300 042 1281    0300 041 3131,https://involvekent.org.uk/directory_entry_organisation/swanley-library-kent-libraries/,swanleylibrary@kent.gov.uk,0300 042 1281    0300 041 3131,,"Swanley Library, London Road, Swanley, Kent, BR8 7AE What we do Knitting and crochet group, making items for charity, post box toppers and own projects. When? Every Tuesday 10:00 – 13:00 When? Swanley Library Booking:",BR8 7AE,Free Organisation Swanley Library (Kent Libraries) Telephone 0300 042 1281    0300 041 3131 Email swanleylibrary@kent.gov.uk Organisation Swanley Library (Kent Libraries),Groups and Community Activities; Hobbies and interests; Social groups and coffee mornings,"Knitting and crochet group, making items for charity, post box toppers and own projects. When? Every Tuesday 10:00 – 13:00 When? Swanley Library Booking: Knitting and crochet group, making items for charity, post box toppers and own projects. When? Every Tuesday 10:00 – 13:00 When? Swanley Library Booking: Price Free",,,
,Knit & Natter Sessions (Maidstone),knit-natter-sessions-maidstone,https://involvekent.org.uk/directory/knit-natter-sessions-maidstone/,"Age UK Maidstone, Sevenoaks and Tonbridge Telephone 01622 753618",https://involvekent.org.uk/directory_entry_organisation/age-uk-maidstone-sevenoaks-and-tonbridge/,info@ageukmst.org.uk,01622 753618,,"Invicta Court Care Home, Gidds Pond Way, Weavering, Maidstone, ME14 5FY What we do Are you a keen knitter who would like to meet other people in a welcoming community setting? Or, are you someone who is looking to get out of the house and meet new people? If so, we’ve got the group for you! Our monthly Knit & Natter sessions offer a relaxed space for people living in and around Maidstone to come together, share stories, and enjoy a bit of creativity with yarn and needle. Whether you’re a seasoned stitcher or have no idea what a crochet hook is, don’t worry! Everyone is welcome to join us. The focus of this group is bringing people together to participate in a fun and engaging activity. We kindly ask for voluntary donations where possible to support the cost of the wool provided as a part of these sessions. When: The second Thursday of the month Where: Invicta Court Care Home, Gidds Pond Way, Weavering, Maidstone, ME14 5FY Booking: Contact info@ageukmst.org.uk or call 01622 753618",ME14 5FY,"Free but donations appreciated Organisation Age UK Maidstone, Sevenoaks and Tonbridge Telephone 01622 753618 Email info@ageukmst.org.uk Organisation Age UK Maidstone, Sevenoaks and Tonbridge",Arts and crafts; Groups and Community Activities; Hobbies and interests; Social groups and coffee mornings,"Are you a keen knitter who would like to meet other people in a welcoming community setting? Or, are you someone who is looking to get out of the house and meet new people? If so, we’ve got the group for you! Our monthly Knit & Natter sessions offer a relaxed space for people living in and around Maidstone to come together, share stories, and enjoy a bit of creativity with yarn and needle. Whether you’re a seasoned stitcher or have no idea what a crochet hook is, don’t worry! Everyone is welcome to join us. The focus of this group is bringing people together to participate in a fun and engaging activity. We kindly ask for voluntary donations where possible to support the cost of the wool provided as a part of these sessions. When: The second Thursday of the month Where: Invicta Court Care Home, Gidds Pond Way, Weavering, Maidstone, ME14 5FY Booking: Contact info@ageukmst.org.uk or call 01622 753618 Are you a keen knitter who would like to meet other people in a welcoming community setting? Or, are you someone who is looking to get out of the house and meet new people? If so, we’ve got the group for you! Our monthly Knit & Natter sessions offer a relaxed space for people living in and around Maidstone to come together, share stories, and enjoy a bit of creativity with yarn and needle. Whether you’re a seasoned stitcher or have no idea what a crochet hook is, don’t worry! Everyone is welcome to join us. The focus of this group is bringing people together to participate in a fun and engaging activity. We kindly ask for voluntary donations where possible to support the cost of the wool provided as a part of these sessions. When: The second Thursday of the month Where: Invicta Court Care Home, Gidds Pond Way, Weavering, Maidstone, ME14 5FY Booking: Contact info@ageukmst.org.uk or call 01622 753618 info@ageukmst.org.uk Price Free but donations appreciated",,,
,Knit’n’Natter,knitnnatter,https://involvekent.org.uk/directory/knitnnatter/,Fusion HLC Telephone 01622 691177,https://involvekent.org.uk/directory_entry_organisation/fusion-hlc/,enquiries@fusionhlc.org.uk,01622 691177,,"Fusion HLC, 2 & 3 Cobb Way, Off Livingstone Walk, Park Wood, Maidstone, Kent, ME15 9XF What we do This is a social group run. It’s a session where members of the group talk and knit. You can learn or help others improve upon their knitting skills.",ME15 9XF,Free Organisation Fusion HLC Telephone 01622 691177 Email enquiries@fusionhlc.org.uk Organisation Fusion HLC,Arts and crafts; Groups and Community Activities; Hobbies and interests,This is a social group run. It’s a session where members of the group talk and knit. You can learn or help others improve upon their knitting skills. Price Free,,,
,Knitting Group at Riverview Park Library,knitting-group-at-riverview-park-library,https://involvekent.org.uk/directory/knitting-group-at-riverview-park-library/,Riverview Park Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/riverview-park-library/,Riverviewparklibrary@kent.gov.uk,03000 41 31 31,,"Riverview Park Library, The Alma, Leander Drive, Gravesend, Kent, DA12 4NG What we do Enjoy Knitting or Crocheting? Want to learn how to Knit or Crochet? Then come along to our friendly volunteer run group at Riverview Park Library. Everyone is welcome! When : Fortnightly on Wednesday’s between 2pm – 4pm Where : Riverview Park Library",DA12 4NG,Free Organisation Riverview Park Library (Kent Libraries) Telephone 03000 41 31 31 Email Riverviewparklibrary@kent.gov.uk Organisation Riverview Park Library (Kent Libraries),Arts and crafts; Groups and Community Activities; Hobbies and interests; Social groups and coffee mornings,Enjoy Knitting or Crocheting? Want to learn how to Knit or Crochet? Then come along to our friendly volunteer run group at Riverview Park Library. Everyone is welcome! When : Fortnightly on Wednesday’s between 2pm – 4pm Where : Riverview Park Library Enjoy Knitting or Crocheting? Want to learn how to Knit or Crochet? Then come along to our friendly volunteer run group at Riverview Park Library. Everyone is welcome! When : Fortnightly on Wednesday’s between 2pm – 4pm Where : Riverview Park Library Price Free,,,
,Ladies Badminton,ladies-badminton,https://involvekent.org.uk/directory/ladies-badminton/,Staplehurst Free Church Telephone 01580 893993,https://involvekent.org.uk/directory_entry_organisation/staplehurst-free-church/,contactus@staplehurstfreechurch.org.uk,01580 893993,,"Staplehurst Free Church, Station Road, Staplehurst, TN12 0QQ What we do Enjoy a weekly game of badminton in our Church hall (for residents of Staplehurst). Open to all abilities and games are played on a rotational basis according to who turns up. Normally takes place on a Friday morning.",TN12 0QQ,Free Organisation Staplehurst Free Church Telephone 01580 893993 Email contactus@staplehurstfreechurch.org.uk Organisation Staplehurst Free Church,Health; Sport and fitness,Enjoy a weekly game of badminton in our Church hall (for residents of Staplehurst). Open to all abilities and games are played on a rotational basis according to who turns up. Normally takes place on a Friday morning. Price Free,,,
,LADS Live Discuss And Support,lads-live-discuss-and-support,https://involvekent.org.uk/directory/lads-live-discuss-and-support/,The Academy Dover CIC Telephone 07713928780,https://involvekent.org.uk/directory_entry_organisation/the-academy-dover-cic/,theacademydover@gmail.com,07713928780,,"Fort Burgyone, Fort Burgyone road, Dover, Kent, CT1 5LP What we do L.A.D.S (Live And Discuss Support) is a men’s support group based in Dover, dedicated to providing a non-judgmental and friendly environment where men can openly discuss daily challenges and mental health issues. This group meetings each Monday at 9pm. We also offer support through our whatsapp group which can be used 24 hours a day.",CT1 5LP,Free Organisation The Academy Dover CIC Telephone 07713928780 Email theacademydover@gmail.com Organisation The Academy Dover CIC,Groups and Community Activities; Peer and support groups,"L.A.D.S (Live And Discuss Support) is a men’s support group based in Dover, dedicated to providing a non-judgmental and friendly environment where men can openly discuss daily challenges and mental health issues. This group meetings each Monday at 9pm. We also offer support through our whatsapp group which can be used 24 hours a day. L.A.D.S (Live And Discuss Support) is a men’s support group based in Dover, dedicated to providing a non-judgmental and friendly environment where men can openly discuss daily challenges and mental health issues. This group meetings each Monday at 9pm. We also offer support through our whatsapp group which can be used 24 hours a day. Price Free",,,
,Larkfield Library Baby Rhyme Time,larkfield-library-baby-rhyme-time,https://involvekent.org.uk/directory/larkfield-library-baby-rhyme-time/,Larkfield Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/larkfield-library-kent-libraries/,larkfieldlibrary@kent.gov.uk,03000 41 31 31,,"Larkfield Library, Martin Square, Larkfield, Aylesford, Kent, ME20 6QW What we do Songs and nursery rhymes for children under 3 and their parents/carers. A fun time for everyone! Tuesdays from 10am to 10:20am.",ME20 6QW,Free Organisation Larkfield Library (Kent Libraries) Telephone 03000 41 31 31 Email larkfieldlibrary@kent.gov.uk Organisation Larkfield Library (Kent Libraries),Groups and Community Activities; Parent and family activities,Songs and nursery rhymes for children under 3 and their parents/carers. A fun time for everyone! Tuesdays from 10am to 10:20am. Songs and nursery rhymes for children under 3 and their parents/carers. A fun time for everyone! Tuesdays from 10am to 10:20am. Price Free,,,
,Larkfield Library Knit & Natter,larkfield-library-knit-natter,https://involvekent.org.uk/directory/larkfield-library-knit-natter/,Larkfield Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/larkfield-library-kent-libraries/,larkfieldlibrary@kent.gov.uk,03000 41 31 31,,"Larkfield Library, Martin Square, Larkfield, Aylesford, Kent, ME20 6QW What we do Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. Monthly on the 1st Tuesday of the month – 10am to 11:30am.",ME20 6QW,Free Organisation Larkfield Library (Kent Libraries) Telephone 03000 41 31 31 Email larkfieldlibrary@kent.gov.uk Organisation Larkfield Library (Kent Libraries),Arts and crafts; Groups and Community Activities,"Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. Monthly on the 1st Tuesday of the month – 10am to 11:30am. Enjoy knitting? Come along to our friendly group, meet new friends and enjoy a chat. Everyone welcome from beginners to expert knitters. Monthly on the 1st Tuesday of the month – 10am to 11:30am. Price Free",,,
,Larkfield Library Talk Time,larkfield-library-talk-time,https://involvekent.org.uk/directory/larkfield-library-talk-time/,Larkfield Library (Kent Libraries) Telephone 03000 41 31 31,https://involvekent.org.uk/directory_entry_organisation/larkfield-library-kent-libraries/,larkfieldlibrary@kent.gov.uk,03000 41 31 31,,"Larkfield Library, Martin Square, Larkfield, Aylesford, Kent, ME20 6QW What we do A weekly group offering the chance to come together, make new friends and just chat. Mondays from 2pm to 4pm",ME20 6QW,Free Organisation Larkfield Library (Kent Libraries) Telephone 03000 41 31 31 Email larkfieldlibrary@kent.gov.uk Organisation Larkfield Library (Kent Libraries),Groups and Community Activities; Social groups and coffee mornings,"A weekly group offering the chance to come together, make new friends and just chat. Mondays from 2pm to 4pm A weekly group offering the chance to come together, make new friends and just chat. Mondays from 2pm to 4pm Price Free",,,
,Larks Book Club at Swanley Library,larks-book-club-at-swanley-library,https://involvekent.org.uk/directory/larks-book-club-at-swanley-library/,Swanley Library (Kent Libraries) Telephone 0300 042 1281    0300 041 3131,https://involvekent.org.uk/directory_entry_organisation/swanley-library-kent-libraries/,sueejohnson100@gmail.com,0300 042 1281    0300 041 3131,,"Swanley Library, London Road, Swanley, Kent, BR8 7AE What we do The Larks Book Club meet at 10.30 for an hour on the last Friday of the month. We have been going for a few years, and are a very relaxed and friendly group. We are very respectful of the views of others. Our reading list is varied, sometimes dependant on being able to source them. When? Last Friday of the month at 10.30am for 1 hour Where? Swanley Library Booking: Please contact Sue at sueejohnson100@gmail.com",BR8 7AE,Free Organisation Swanley Library (Kent Libraries) Telephone 0300 042 1281    0300 041 3131 Email sueejohnson100@gmail.com Organisation Swanley Library (Kent Libraries),Groups and Community Activities; Hobbies and interests; Social groups and coffee mornings,"The Larks Book Club meet at 10.30 for an hour on the last Friday of the month. We have been going for a few years, and are a very relaxed and friendly group. We are very respectful of the views of others. Our reading list is varied, sometimes dependant on being able to source them. When? Last Friday of the month at 10.30am for 1 hour Where? Swanley Library Booking: Please contact Sue at sueejohnson100@gmail.com The Larks Book Club meet at 10.30 for an hour on the last Friday of the month. We have been going for a few years, and are a very relaxed and friendly group. We are very respectful of the views of others. Our reading list is varied, sometimes dependant on being able to source them. When? Last Friday of the month at 10.30am for 1 hour Where? Swanley Library Booking: Please contact Sue at sueejohnson100@gmail.com Price Free",,,
,Laser & Lino: Design Your Own Custom Stamp,laser-lino-design-your-own-custom-stamp,https://involvekent.org.uk/directory/laser-lino-design-your-own-custom-stamp/,Maidstone Hackspace Telephone 07761642992,https://involvekent.org.uk/directory_entry_organisation/maidstone-hackspace/,contact@maidstone-hackspace.org.uk,07761642992,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Fwww.eventbrite.com%2Fe%2Flaser-lino-design-your-own-custom-stamp-tickets-1670673412149%3Faff%3Doddtdtcreator&data=05%7C02%7Cdirectory%40involvekent.org.uk%7Cc8d7d4ea12ba44fa299908dded3788ed%7Cfec27805f187436a8c2f26d3ffbaed2b%7C0%7C0%7C638927545371315554%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C60000%7C%7C%7C&sdata=r4jgUsymYn1Fl9Kk%2FpBQbqLxX5lhvEyMqPlhqb633hg%3D&reserved=0,"Maidstone Community Support Centre, Marsham Street, Maidstone, Kent, ME141HH What we do Turn your ideas into unique, reusable stamps with our hands-on laser engraving workshop at Maidstone Hackspace. Perfect for beginners and crafters alike, this small-group course will guide you through designing, engraving, and mounting your own custom rubber stamp – ready to use and take home the same day. What You’ll Learn and Do Introduction & Inspiration (30 mins): Explore examples of lino and laser-engraved stamps and learn about the tools and materials. Design Your Stamp (1 hrs): Create your own design by hand, digitally, or with AI support, guided by our instructors. Laser Engrave & Mount (1 hr): Engrave your design into rubber, then mount it to a laser cut handle. Stamp & Share (30 mins): Test your stamp, experiment with inks, and take it home for future use. What You Could Make Business branding stamps for logos, packaging, or stationery Intricate artistic designs for crafts and illustration Personal monograms, addresses, or signature stamps Playful children’s designs with animals, cartoons, or characters Personalised event stamps for weddings, birthdays, and holidays Location Maidstone Community Support Centre, 39-48 Marsham Street Maidstone ME14 1HH This workshop will be running on the following dates: 22 nd of October 2025 13:00 – 17:00 28 th of January 2026 17:00 – 21:00 18 th of March 2026 13:00 – 17:00 20 th of May 2026 17:00 – 21:00 22 nd of July 2026 13:00 – 17:00 16 th of September 2026 17:00 – 21:00 25 th of November 2026 13:00 – 17:00 Booking to be made via Eventbrite – https://www.eventbrite.com/e/laser-lino-design-your-own-custom-stamp-tickets-1670673412149?aff=oddtdtcreator",ME141HH,£35. Use Discount Code “INVOLVEKENT10” to reduce course to £25 Organisation Maidstone Hackspace Telephone 07761642992 Email contact@maidstone-hackspace.org.uk Organisation Maidstone Hackspace,Arts and crafts; Groups and Community Activities,"Turn your ideas into unique, reusable stamps with our hands-on laser engraving workshop at Maidstone Hackspace. Perfect for beginners and crafters alike, this small-group course will guide you through designing, engraving, and mounting your own custom rubber stamp – ready to use and take home the same day. What You’ll Learn and Do Introduction & Inspiration (30 mins): Explore examples of lino and laser-engraved stamps and learn about the tools and materials. Design Your Stamp (1 hrs): Create your own design by hand, digitally, or with AI support, guided by our instructors. Laser Engrave & Mount (1 hr): Engrave your design into rubber, then mount it to a laser cut handle. Stamp & Share (30 mins): Test your stamp, experiment with inks, and take it home for future use. What You Could Make Business branding stamps for logos, packaging, or stationery Intricate artistic designs for crafts and illustration Personal monograms, addresses, or signature stamps Playful children’s designs with animals, cartoons, or characters Personalised event stamps for weddings, birthdays, and holidays Location Maidstone Community Support Centre, 39-48 Marsham Street Maidstone ME14 1HH This workshop will be running on the following dates: 22 nd of October 2025 13:00 – 17:00 28 th of January 2026 17:00 – 21:00 18 th of March 2026 13:00 – 17:00 20 th of May 2026 17:00 – 21:00 22 nd of July 2026 13:00 – 17:00 16 th of September 2026 17:00 – 21:00 25 th of November 2026 13:00 – 17:00 Booking to be made via Eventbrite – https://www.eventbrite.com/e/laser-lino-design-your-own-custom-stamp-tickets-1670673412149?aff=oddtdtcreator Turn your ideas into unique, reusable stamps with our hands-on laser engraving workshop at Maidstone Hackspace. Perfect for beginners and crafters alike, this small-group course will guide you through designing, engraving, and mounting your own custom rubber stamp – ready to use and take home the same day. What You’ll Learn and Do What You Could Make Location Maidstone Community Support Centre, 39-48 Marsham Street Maidstone ME14 1HH This workshop will be running on the following dates: Booking to be made via Eventbrite – https://www.eventbrite.com/e/laser-lino-design-your-own-custom-stamp-tickets-1670673412149?aff=oddtdtcreator https://www.eventbrite.com/e/laser-lino-design-your-own-custom-stamp-tickets-1670673412149?aff=oddtdtcreator Price £35. Use Discount Code “INVOLVEKENT10” to reduce course to £25",,,
,Laughing Workshop,laughing-workshop,https://involvekent.org.uk/directory/laughing-workshop/,Heart of Headcorn Telephone 07927 054708,https://involvekent.org.uk/directory_entry_organisation/heart-of-headcorn-cio/,laughingworkshop@heartofheadcorn.org,07927 054708,,"The Heart of Headcorn Cultural and Community Hub, 2 High Street, Headcorn, Kent, TN27 9NE What we do The Laughing Workshop meets on the first Saturday of every month at 10.30 am. It is a type of yoga that boost health and well-being by exercising all the face muscles and releasing healing endorphins. For more details contact Cathy Hill on 07927 054708 or email laughingworkshop@heartofheadcorn.org",TN27 9NE,£10 Organisation Heart of Headcorn Telephone 07927 054708 Email laughingworkshop@heartofheadcorn.org Organisation Heart of Headcorn,Groups and Community Activities; Health; Hobbies and interests; Wellbeing,The Laughing Workshop meets on the first Saturday of every month at 10.30 am. It is a type of yoga that boost health and well-being by exercising all the face muscles and releasing healing endorphins. For more details contact Cathy Hill on 07927 054708 or email laughingworkshop@heartofheadcorn.org The Laughing Workshop meets on the first Saturday of every month at 10.30 am. It is a type of yoga that boost health and well-being by exercising all the face muscles and releasing healing endorphins. For more details contact Cathy Hill on 07927 054708 or email laughingworkshop@heartofheadcorn.org laughingworkshop@heartofheadcorn.org Price £10,,,
,LCG Book Club,lcg-book-club,https://involvekent.org.uk/directory/lcg-book-club/,Larkfield Community Group Telephone 07563 196479,https://involvekent.org.uk/directory_entry_organisation/larkfield-community-group/,larkfieldcommunitygroup@gmail.com,07563 196479,,"The Wealden Pub, 773 London Road, Larkfield, East Malling, Aylesford ME20 6DE What we do Do you enjoy reading? Love talking about books? Then why don’t you come along to our next Book Club meeting and join like-minded people. We all agree on a cook to be read for the month and discuss what we thought about it at the following meeting. Everyone gets a chance to choose a book. 1st Wednesday of the month.",ME20 6DE,Free Organisation Larkfield Community Group Telephone 07563 196479 Email larkfieldcommunitygroup@gmail.com Organisation Larkfield Community Group,Groups and Community Activities; Hobbies and interests; Social groups and coffee mornings,Do you enjoy reading? Love talking about books? Then why don’t you come along to our next Book Club meeting and join like-minded people. We all agree on a cook to be read for the month and discuss what we thought about it at the following meeting. Everyone gets a chance to choose a book. 1st Wednesday of the month. Do you enjoy reading? Love talking about books? Then why don’t you come along to our next Book Club meeting and join like-minded people. We all agree on a cook to be read for the month and discuss what we thought about it at the following meeting. Everyone gets a chance to choose a book. 1st Wednesday of the month. Price Free,,,
,Learn My Way at HLC Dartford,learn-my-way-at-hlc-dartford,https://involvekent.org.uk/directory/learn-my-way-at-hlc-dartford/,HLC Dartford (Healthy Living Centre Dartford) Telephone 01322 311265,https://involvekent.org.uk/directory_entry_organisation/hlc-dartford-healthy-living-centre-dartford/,,01322 311265,,"Temple Hill Community Centre, Temple Hill, Dartford, Kent, DA1 5HY What we do Friendly, step-by-step support to help develop your IT skills and increase your confidence When : Thursdays at 1pm – 3pm Where : Temple Hill Community Centre Booking : Please contact Healthy Living Centre Dartford to book",DA1 5HY,£3 Organisation HLC Dartford (Healthy Living Centre Dartford) Telephone 01322 311265 Organisation HLC Dartford (Healthy Living Centre Dartford),"Skills, education and training; Support Services and Self-help","Friendly, step-by-step support to help develop your IT skills and increase your confidence When : Thursdays at 1pm – 3pm Where : Temple Hill Community Centre Booking : Please contact Healthy Living Centre Dartford to book Friendly, step-by-step support to help develop your IT skills and increase your confidence When : Thursdays at 1pm – 3pm Where : Temple Hill Community Centre Booking : Please contact Healthy Living Centre Dartford to book Price £3",,,
,Learn to Ride (Ashford),learn-to-ride-ashford,https://involvekent.org.uk/directory/learn-to-ride-ashford/,Adult Cycle Training Telephone 03000 422250,https://involvekent.org.uk/directory_entry_organisation/adult-cycle-training/,cycletraining@kent.gov.uk,03000 422250,,"KCC Highways, Javelin way, Henwood Industrial estate, Ashford TN24 8AD What we do If you want to learn how to ride a bike, or need more confidence and wish to learn in a safe, off-road location at your own pace, then this is the course for you. Our aim is to get you riding without assistance, which is likely to take more than 1 session. Each session runs for approximately 1 hour 30 minutes. We have bicycles and helmets available for hire.",TN24 8AD,Set charge Organisation Adult Cycle Training Telephone 03000 422250 Email cycletraining@kent.gov.uk Organisation Adult Cycle Training,"Skills, education and training; Support Services and Self-help","If you want to learn how to ride a bike, or need more confidence and wish to learn in a safe, off-road location at your own pace, then this is the course for you. Our aim is to get you riding without assistance, which is likely to take more than 1 session. Each session runs for approximately 1 hour 30 minutes. We have bicycles and helmets available for hire. Price Set charge",,,
,Learn to Ride (Gravesend),learn-to-ride-gravesend,https://involvekent.org.uk/directory/learn-to-ride-gravesend/,Adult Cycle Training Telephone 03000 422250,https://involvekent.org.uk/directory_entry_organisation/adult-cycle-training/,cycletraining@kent.gov.uk,03000 422250,,"Cyclopark, Watling Street, Gravesend, DA11 7NP What we do If you want to learn how to ride a bike, or need more confidence and wish to learn in a safe, off-road location at your own pace, then this is the course for you. Our aim is to get you riding without assistance, which is likely to take more than 1 session. Each session runs for approximately 1 hour 30 minutes. We have bicycles and helmets available for hire.",DA11 7NP,Set Charge Organisation Adult Cycle Training Telephone 03000 422250 Email cycletraining@kent.gov.uk Organisation Adult Cycle Training,"Health; Skills, education and training; Sport and fitness; Support Services and Self-help","If you want to learn how to ride a bike, or need more confidence and wish to learn in a safe, off-road location at your own pace, then this is the course for you. Our aim is to get you riding without assistance, which is likely to take more than 1 session. Each session runs for approximately 1 hour 30 minutes. We have bicycles and helmets available for hire. Price Set Charge",,,
